 0.45000E-02  0.19022E+56  0.92070E+56 0045
 0.46000E-02  0.19022E+56  0.92070E+56 0046
 0.47000E-02  0.19021E+56  0.92065E+56 0047
 0.48000E-02  0.19021E+56  0.92065E+56 0048
 0.49000E-02  0.19021E+56  0.92062E+56 0049
 0.50000E-02  0.19021E+56  0.92062E+56 0050
 0.51000E-02  0.19020E+56  0.92057E+56 0051
 0.52000E-02  0.19020E+56  0.92057E+56 0052
 0.53000E-02  0.19019E+56  0.92053E+56 0053
 0.54000E-02  0.19019E+56  0.92053E+56 0054
 0.55000E-02  0.19019E+56  0.92050E+56 0055
 0.56000E-02  0.19018E+56  0.92049E+56 0056
 0.57000E-02  0.19018E+56  0.92049E+56 0057
 0.58000E-02  0.19018E+56  0.92046E+56 0058
 0.59000E-02  0.19018E+56  0.92045E+56 0059
 0.60000E-02  0.19018E+56  0.92044E+56 0060
 0.61000E-02  0.19017E+56  0.92043E+56 0061
 0.62000E-02  0.19017E+56  0.92041E+56 0062
 0.63000E-02  0.19017E+56  0.92039E+56 0063
 0.64000E-02  0.19017E+56  0.92039E+56 0064
 0.65000E-02  0.19016E+56  0.92037E+56 0065
 0.66000E-02  0.19016E+56  0.92037E+56 0066
 0.67000E-02  0.19016E+56  0.92034E+56 0067
 0.68000E-02  0.19015E+56  0.92032E+56 0068
 0.69000E-02  0.19015E+56  0.92032E+56 0069
 0.70000E-02  0.19015E+56  0.92030E+56 0070
 0.71000E-02  0.19015E+56  0.92030E+56 0071
 0.72000E-02  0.19015E+56  0.92029E+56 0072
 0.73000E-02  0.19015E+56  0.92029E+56 0073
 0.74000E-02  0.19014E+56  0.92027E+56 0074
 0.75000E-02  0.19014E+56  0.92026E+56 0075
 0.76000E-02  0.19014E+56  0.92026E+56 0076
 0.77000E-02  0.19014E+56  0.92024E+56 0077
 0.78000E-02  0.19013E+56  0.92021E+56 0078
 0.79000E-02  0.19013E+56  0.92021E+56 0079
 0.80000E-02  0.19013E+56  0.92021E+56 0080
 0.81000E-02  0.19013E+56  0.92021E+56 0081
 0.82000E-02  0.19013E+56  0.92020E+56 0082
 0.83000E-02  0.19013E+56  0.92017E+56 0083
 0.84000E-02  0.19013E+56  0.92017E+56 0084
 0.85000E-02  0.19013E+56  0.92017E+56 0085
 0.86000E-02  0.19013E+56  0.92017E+56 0086
 0.87000E-02  0.19013E+56  0.92016E+56 0087
 0.88000E-02  0.19012E+56  0.92014E+56 0088
 0.89000E-02  0.19012E+56  0.92014E+56 0089
 0.90000E-02  0.19012E+56  0.92013E+56 0090
 0.91000E-02  0.19012E+56  0.92013E+56 0091
 0.92000E-02  0.19012E+56  0.92013E+56 0092
 0.93000E-02  0.19012E+56  0.92010E+56 0093
 0.94000E-02  0.19011E+56  0.92009E+56 0094
 0.95000E-02  0.19011E+56  0.92009E+56 0095
 0.96000E-02  0.19011E+56  0.92008E+56 0096
 0.97000E-02  0.19011E+56  0.92008E+56 0097
 0.98000E-02  0.19010E+56  0.92004E+56 0098
 0.99000E-02  0.19010E+56  0.92004E+56 0099
 0.10000E-01  0.19010E+56  0.92004E+56 0100
